year,team,games,win,loss,win_rate,surveyyear,footballteam,state,maleundergraduates,femaleundergraduates,totalundergraduates,participantsmenteam,operatingexpensesparticipantmenteam,operatingexpensesteammenteam,totaloperatingexpensesmenwomenteam,revenuesmenteam,expensesmenteam
2014,Rutgers University-New Brunswick,13,8,5,0.615,2014,Rutgers University-New Brunswick,NJ,16176,16096,32272,111,45789,5082634,5082634,26903695,20158193
2014,University of Wisconsin-Madison,14,11,3,0.786,2014,University of Wisconsin-Madison,WI,13534,14333,27867,112,39455,4419012,4419012,44797138,26643793
2015,University of Illinois at Urbana-Champaign,12,5,7,0.417,2015,University of Illinois at Urbana-Champaign,IL,17540,14012,31552,123,18249,2244640,2244640,32910979,18242712
2015,Indiana University-Bloomington,13,6,7,0.462,2015,Indiana University-Bloomington,IN,15796,15763,31559,129,38394,4952859,4952859,35213709,24233472
2015,University of Iowa,13,12,2,0.857,2015,University of Iowa,IA,9394,10318,19712,117,48762,5705156,5705156,56551411,30150836
2015,University of Maryland-College Park,13,3,9,0.25,2015,University of Maryland-College Park,MD,13500,11772,25272,117,14399,1684664,1684664,30071434,20779161
2015,University of Michigan-Ann Arbor,13,10,3,0.769,2015,University of Michigan-Ann Arbor,MI,13642,13519,27161,125,46405,5800672,5800672,97149706,36597583
2015,Michigan State University,12,12,2,0.857,2015,Michigan State University,MI,17376,18049,35425,120,46093,5531189,5531189,64661163,31978126
2015,University of Minnesota-Twin Cities,13,6,7,0.462,2015,University of Minnesota-Twin Cities,MN,13666,14540,28206,119,42636,5073658,5073658,49363392,25542759
2015,University of Nebraska-Lincoln,13,6,7,0.462,2015,University of Nebraska-Lincoln,NE,9905,8912,18817,138,30349,4188204,4188204,65012080,27493962
2015,Northwestern University,13,10,3,0.769,2015,Northwestern University,IL,4124,4092,8216,107,36436,3898646,3898646,36212907,24629741
2015,Ohio State University-Main Campus,13,12,1,0.923,2015,Ohio State University-Main Campus,OH,21316,19582,40898,128,66494,8511260,8511260,86646061,37378146
2015,Pennsylvania State University-Main Campus,14,7,6,0.538,2015,Pennsylvania State University-Main Campus,PA,20986,18308,39294,128,66270,8482572,8482572,75462597,36163151
2015,Purdue University-Main Campus,12,2,10,0.167,2015,Purdue University-Main Campus,IN,16595,12060,28655,108,24276,2621757,2621757,18681315,16885714
2015,Rutgers University-New Brunswick,12,4,8,0.333,2015,Rutgers University-New Brunswick,NJ,16654,16640,33294,122,51043,6227301,6227301,25236282,25236282
2015,University of Wisconsin-Madison,14,10,3,0.769,2015,University of Wisconsin-Madison,WI,13741,14416,28157,117,37604,4399614,4399614,71220684,30731315
2016,University of Illinois at Urbana-Champaign,12,3,9,0.25,2016,University of Illinois at Urbana-Champaign,IL,17529,14597,32126,102,20796,2121157,2121157,35622414,22332328
2016,Indiana University-Bloomington,13,6,7,0.462,2016,Indiana University-Bloomington,IN,16085,15799,31884,128,39664,5076950,5076950,37085787,25672983
2016,University of Iowa,13,8,5,0.615,2016,University of Iowa,IA,9801,10889,20690,121,35984,4354108,4354108,58685965,31800591
2022,Indiana University-Bloomington,12,4,8,0.333,2022,Indiana University-Bloomington,IN,17336,17201,34537,127,62553,7944239,7944239,53493281,33934187
2022,Rutgers University-New Brunswick,12,4,8,0.333,2022,Rutgers University-New Brunswick,NJ,17318,17312,34630,131,55331,7248405,7248405,49812329,49812329
2022,University of Iowa,13,8,5,0.615,2022,University of Iowa,IA,8804,11332,20136,128,41910,5364461,5364461,87365943,45372393
